CAISO 15-Minute Real-Time Locational Marginal Prices ($/megawatt) for Zones
15-minute real-time locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2023-07-01 07:15:00,2023-07-01 00:00:00,2023-07-01 00:15:00,2023-07-01,1,38.43807,38.4698,38.35481,0.0,0.0,0.0,39.65141,39.65141,39.65141,-1.21333,-1.18161,-1.2966
2023-07-01 07:30:00,2023-07-01 00:15:00,2023-07-01 00:30:00,2023-07-01,1,37.82442,38.3817,37.86367,0.0,0.0,0.0,39.24509,39.24509,39.24509,-1.42067,-0.86339,-1.38143
2023-07-01 07:45:00,2023-07-01 00:30:00,2023-07-01 00:45:00,2023-07-01,1,37.36667,38.02658,37.52194,0.0,0.0,0.0,38.81848,38.81848,38.81848,-1.45181,-0.7919,-1.29654
2023-07-01 08:00:00,2023-07-01 00:45:00,2023-07-01 01:00:00,2023-07-01,1,35.80177,36.60648,36.08491,0.0,0.0,0.0,37.25471,37.25471,37.25471,-1.45293,-0.64823,-1.1698
2023-07-01 08:15:00,2023-07-01 01:00:00,2023-07-01 01:15:00,2023-07-01,2,41.638,41.638,41.638,0.0,0.0,0.0,41.638,41.638,41.638,0.0,0.0,0.0
2023-07-01 08:30:00,2023-07-01 01:15:00,2023-07-01 01:30:00,2023-07-01,2,38.20354,39.0413,38.49735,0.0,0.0,0.0,39.70436,39.70436,39.70436,-1.50082,-0.66306,-1.20701
2023-07-01 08:45:00,2023-07-01 01:30:00,2023-07-01 01:45:00,2023-07-01,2,37.83966,38.57383,38.05952,0.0,0.0,0.0,39.2609,39.2609,39.2609,-1.42124,-0.68707,-1.20138
2023-07-01 09:00:00,2023-07-01 01:45:00,2023-07-01 02:00:00,2023-07-01,2,35.99094,37.01882,36.33607,0.0,0.0,0.0,37.51401,37.51401,37.51401,-1.52307,-0.49518,-1.17794
2023-07-01 09:15:00,2023-07-01 02:00:00,2023-07-01 02:15:00,2023-07-01,3,38.65278,38.75197,38.57344,0.0,0.0,0.0,39.67236,39.67236,39.67236,-1.01958,-0.9204,-1.09892
2023-07-01 09:30:00,2023-07-01 02:15:00,2023-07-01 02:30:00,2023-07-01,3,38.61757,38.70474,38.50664,0.0,0.0,0.0,39.61996,39.61996,39.61996,-1.00238,-0.91522,-1.11332
2023-07-01 09:45:00,2023-07-01 02:30:00,2023-07-01 02:45:00,2023-07-01,3,37.25765,37.62232,37.29604,0.0,0.0,0.0,38.38621,38.38621,38.38621,-1.12855,-0.76389,-1.09017
2023-07-01 10:00:00,2023-07-01 02:45:00,2023-07-01 03:00:00,2023-07-01,3,35.82458,36.35745,35.92079,0.0,0.0,0.0,37.00504,37.00504,37.00504,-1.18046,-0.64759,-1.08425
2023-07-01 10:15:00,2023-07-01 03:00:00,2023-07-01 03:15:00,2023-07-01,4,38.00155,38.11079,37.8806,0.0,0.0,0.0,39.01596,39.01596,39.01596,-1.01441,-0.90517,-1.13536
2023-07-01 10:30:00,2023-07-01 03:15:00,2023-07-01 03:30:00,2023-07-01,4,37.6527,37.67586,37.48285,0.0,0.0,0.0,38.60231,38.60231,38.60231,-0.94962,-0.92646,-1.11947
2023-07-01 10:45:00,2023-07-01 03:30:00,2023-07-01 03:45:00,2023-07-01,4,36.18932,36.23013,36.03718,0.0,0.0,0.0,37.10583,37.10583,37.10583,-0.91651,-0.8757,-1.06865
2023-07-01 11:00:00,2023-07-01 03:45:00,2023-07-01 04:00:00,2023-07-01,4,35.87372,36.08015,35.79263,0.0,0.0,0.0,36.86161,36.86161,36.86161,-0.98789,-0.78147,-1.06899
2023-07-01 11:15:00,2023-07-01 04:00:00,2023-07-01 04:15:00,2023-07-01,5,38.0443,38.05599,37.85721,0.0,0.0,0.0,38.97582,38.97582,38.97582,-0.93152,-0.91983,-1.11861
2023-07-01 11:30:00,2023-07-01 04:15:00,2023-07-01 04:30:00,2023-07-01,5,35.78897,36.02432,35.71174,0.0,0.0,0.0,36.77452,36.77452,36.77452,-0.98556,-0.7502,-1.06278
2023-07-01 11:45:00,2023-07-01 04:30:00,2023-07-01 04:45:00,2023-07-01,5,35.87372,36.11698,35.80369,0.0,0.0,0.0,36.85782,36.85782,36.85782,-0.9841,-0.74084,-1.05413
2023-07-01 12:00:00,2023-07-01 04:45:00,2023-07-01 05:00:00,2023-07-01,5,35.53446,35.84501,35.46504,0.0,0.0,0.0,36.53553,36.53553,36.53553,-1.00107,-0.69052,-1.07049
2023-07-01 12:15:00,2023-07-01 05:00:00,2023-07-01 05:15:00,2023-07-01,6,35.69114,35.95894,35.62143,0.0,0.0,0.0,36.68531,36.68531,36.68531,-0.99417,-0.72637,-1.06387
2023-07-01 12:30:00,2023-07-01 05:15:00,2023-07-01 05:30:00,2023-07-01,6,35.63707,35.94868,35.60041,0.0,0.0,0.0,36.65988,36.65988,36.65988,-1.02281,-0.7112,-1.05947
2023-07-01 12:45:00,2023-07-01 05:30:00,2023-07-01 05:45:00,2023-07-01,6,35.46971,35.66636,35.37503,0.0,0.0,0.0,36.41654,36.41654,36.41654,-0.94683,-0.75018,-1.04151
2023-07-01 13:00:00,2023-07-01 05:45:00,2023-07-01 06:00:00,2023-07-01,6,33.12127,33.15517,32.91791,0.0,0.0,0.0,33.89406,33.89406,33.89406,-0.77278,-0.73889,-0.97615
2023-07-01 13:15:00,2023-07-01 06:00:00,2023-07-01 06:15:00,2023-07-01,7,34.51397,34.70871,34.48211,0.0,0.0,0.0,35.40621,35.40621,35.40621,-0.89224,-0.6975,-0.9241
2023-07-01 13:30:00,2023-07-01 06:15:00,2023-07-01 06:30:00,2023-07-01,7,31.01983,31.03252,30.84527,0.0,0.0,0.0,31.73708,31.73708,31.73708,-0.71726,-0.70456,-0.89181
2023-07-01 13:45:00,2023-07-01 06:30:00,2023-07-01 06:45:00,2023-07-01,7,24.84593,25.01957,24.77443,0.0,0.0,0.0,25.53539,25.53539,25.53539,-0.68946,-0.51581,-0.76095
2023-07-01 14:00:00,2023-07-01 06:45:00,2023-07-01 07:00:00,2023-07-01,7,17.64154,17.58745,17.42159,0.0,0.0,0.0,18.02917,18.02917,18.02917,-0.38763,-0.44171,-0.60758
2023-07-01 14:15:00,2023-07-01 07:00:00,2023-07-01 07:15:00,2023-07-01,8,17.35625,17.12667,17.0419,0.0,0.0,0.0,17.66,17.66,17.66,-0.30375,-0.53333,-0.6181
2023-07-01 14:30:00,2023-07-01 07:15:00,2023-07-01 07:30:00,2023-07-01,8,15.12092,14.71605,14.69618,0.0,0.0,0.0,15.27829,15.27829,15.27829,-0.15737,-0.56224,-0.5821
2023-07-01 14:45:00,2023-07-01 07:30:00,2023-07-01 07:45:00,2023-07-01,8,10.31285,9.89711,9.9209,0.0,0.0,0.0,10.34181,10.34181,10.34181,-0.02896,-0.4447,-0.42091
2023-07-01 15:00:00,2023-07-01 07:45:00,2023-07-01 08:00:00,2023-07-01,8,13.93532,13.34642,13.37852,0.0,0.0,0.0,13.95485,13.95485,13.95485,-0.01954,-0.60843,-0.57634
2023-07-01 15:15:00,2023-07-01 08:00:00,2023-07-01 08:15:00,2023-07-01,9,15.30707,14.63155,14.64534,0.0,0.0,0.0,15.31779,15.31779,15.31779,-0.01072,-0.68624,-0.67245
2023-07-01 15:30:00,2023-07-01 08:15:00,2023-07-01 08:30:00,2023-07-01,9,15.30084,14.60798,14.60187,0.0,0.0,0.0,15.29472,15.29472,15.29472,0.00612,-0.68673,-0.69285
2023-07-01 15:45:00,2023-07-01 08:30:00,2023-07-01 08:45:00,2023-07-01,9,15.35813,14.6149,14.09402,0.0,0.0,-0.52241,15.32442,15.32442,15.32442,0.03371,-0.70952,-0.70799
2023-07-01 16:00:00,2023-07-01 08:45:00,2023-07-01 09:00:00,2023-07-01,9,16.01038,15.27769,15.27769,0.0,0.0,0.0,15.99758,15.99758,15.99758,0.0128,-0.71989,-0.71989
2023-07-01 16:15:00,2023-07-01 09:00:00,2023-07-01 09:15:00,2023-07-01,10,16.86176,16.2561,16.14752,0.0,0.0,0.0,16.96525,16.96525,16.96525,-0.10349,-0.70915,-0.81772
